date,ticker,entry_price,exit_price,qty,pnl,exit_reason,hold_minutes
2026-04-21,TSM,368.88,352.20,2,-33.37,SL hit,64
2026-04-21,AMD,279.75,264.01,3,-47.22,BUG trim,91
2026-04-21,TSM,368.46,351.70,1,-16.76,SL hit,50
2026-04-21,MSFT,424.34,409.83,1,-14.51,BUG trim,102
2026-04-21,ADBE,250.41,236.56,2,-27.69,BUG trim,39
2026-04-21,AMD,282.99,283.32,1,+0.33,end of day,158
2026-04-21,NVDA,199.70,199.79,1,+0.09,end of day,165
2026-04-23,MSFT,430.39,417.91,5,-64.44,SL hit,0
2026-04-23,ADBE,257.24,243.29,4,-57.85,SL hit,0
2026-04-23,CRM,189.38,177.13,1,-13.25,SL hit,0
2026-04-29,AAPL,270.12,269.91,2,-0.42,end of day,185
2026-04-29,NVDA,211.48,209.02,10,-24.60,end of day,167
2026-04-30,MSFT,405.47,387.08,1,-5.25,SL hit,?
2026-05-01,GOOGL,346.02,385.78,17,+626.63,manual close,?
2026-05-01,AMD,337.41,359.80,3,+45.85,manual close,?
2026-05-01,AMZN,260.59,268.65,3,+22.34,manual close,?
